ID,Title,Brand,Category,Price,Discount %,Rating,Stock,Description,Thumbnail
1,Essence Mascara Lash Princess,Essence,beauty,9.99,10.48,2.56,99,The Essence Mascara Lash Princess is a popular mascara known for its volumizing and lengthening effects. Achieve dramatic lashes with this long-lasting and cruelty-free formula.,https://cdn.dummyjson.com/product-images/beauty/essence-mascara-lash-princess/thumbnail.webp
2,Eyeshadow Palette with Mirror,Glamour Beauty,beauty,19.99,18.19,2.86,34,"The Eyeshadow Palette with Mirror offers a versatile range of eyeshadow shades for creating stunning eye looks. With a built-in mirror, it's convenient for on-the-go makeup application.",https://cdn.dummyjson.com/product-images/beauty/eyeshadow-palette-with-mirror/thumbnail.webp
3,Powder Canister,Velvet Touch,beauty,14.99,9.84,4.64,89,"The Powder Canister is a finely milled setting powder designed to set makeup and control shine. With a lightweight and translucent formula, it provides a smooth and matte finish.",https://cdn.dummyjson.com/product-images/beauty/powder-canister/thumbnail.webp
4,Red Lipstick,Chic Cosmetics,beauty,12.99,12.16,4.36,91,"The Red Lipstick is a classic and bold choice for adding a pop of color to your lips. With a creamy and pigmented formula, it provides a vibrant and long-lasting finish.",https://cdn.dummyjson.com/product-images/beauty/red-lipstick/thumbnail.webp
5,Red Nail Polish,Nail Couture,beauty,8.99,11.44,4.32,79,"The Red Nail Polish offers a rich and glossy red hue for vibrant and polished nails. With a quick-drying formula, it provides a salon-quality finish at home.",https://cdn.dummyjson.com/product-images/beauty/red-nail-polish/thumbnail.webp
6,Calvin Klein CK One,Calvin Klein,fragrances,49.99,1.89,4.37,29,"CK One by Calvin Klein is a classic unisex fragrance, known for its fresh and clean scent. It's a versatile fragrance suitable for everyday wear.",https://cdn.dummyjson.com/product-images/fragrances/calvin-klein-ck-one/thumbnail.webp
7,Chanel Coco Noir Eau De,Chanel,fragrances,129.99,16.51,4.26,58,"Coco Noir by Chanel is an elegant and mysterious fragrance, featuring notes of grapefruit, rose, and sandalwood. Perfect for evening occasions.",https://cdn.dummyjson.com/product-images/fragrances/chanel-coco-noir-eau-de/thumbnail.webp
8,Dior J'adore,Dior,fragrances,89.99,14.72,3.8,98,"J'adore by Dior is a luxurious and floral fragrance, known for its blend of ylang-ylang, rose, and jasmine. It embodies femininity and sophistication.",https://cdn.dummyjson.com/product-images/fragrances/dior-j'adore/thumbnail.webp
9,Dolce Shine Eau de,Dolce & Gabbana,fragrances,69.99,0.62,3.96,4,"Dolce Shine by Dolce & Gabbana is a vibrant and fruity fragrance, featuring notes of mango, jasmine, and blonde woods. It's a joyful and youthful scent.",https://cdn.dummyjson.com/product-images/fragrances/dolce-shine-eau-de/thumbnail.webp
10,Gucci Bloom Eau de,Gucci,fragrances,79.99,14.39,2.74,91,"Gucci Bloom by Gucci is a floral and captivating fragrance, with notes of tuberose, jasmine, and Rangoon creeper. It's a modern and romantic scent.",https://cdn.dummyjson.com/product-images/fragrances/gucci-bloom-eau-de/thumbnail.webp
